hiring_unit_id,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_2digit
60017605,_31,2017,0.0,1,0
60017622,_11,2013,0.0,1,0
60017622,_13,2012,0.0,1,0
60017622,_31,2013,0.0,1,0
60017705,_13,2015,0.0,1,0
60017705,_16,2016,0.0,1,0
60018038,_13,2013,0.0,1,0
60018038,_16,2012,0.0,1,0
60018038,_17,2017,0.0,1,0
60018038,_23,2012,1.0,1,1
60018038,_25,2015,0.0,1,0
60018038,_26,2013,0.0,1,0
60018038,_31,2016,0.0,2,0
60018205,_10,2017,0.5,2,0
60018205,_11,2012,0.5,2,0
60018205,_12,2016,1.0,1,1
60018205,_13,2011,0.0,1,0
60018205,_16,2012,0.0,1,0
60018205,_19,2017,0.2,5,0
60018205,_22,2011,1.0,1,1
60018205,_24,2013,0.0,1,0
60018205,_25,2015,0.0,1,0
60018205,_26,2013,1.0,1,1
60018205,_27,2013,0.0,1,0
60018205,_28,2015,0.0,1,0
60018205,_30,2012,0.0,1,0
60018205,_31,2016,0.0,1,0
60018273,_25,2012,0.0,2,0
60018273,_31,2016,0.0,1,0
60018308,_13,2016,0.0,2,0
60018308,_15,2013,0.0,1,0
60018308,_16,2012,0.0,1,0
60018308,_17,2013,0.0,1,0
60018308,_21,2013,0.0,2,0
60018308,_22,2012,0.0,2,0
60018308,_23,2013,1.0,1,1
60018308,_24,2017,0.0,1,0
60018308,_25,2011,0.0,1,0
60018308,_27,2015,1.0,1,1
60018308,_31,2012,0.6666666666666666,3,0
60018310,_13,2015,0.0,1,0
60018310,_27,2011,0.0,1,0
60018465,_17,2013,1.0,1,1
60018486,_22,2013,1.0,1,1
60018486,_28,2016,0.0,1,0
60018540,_26,2017,0.0,1,0
60018554,_16,2015,0.0,1,0
60018614,_10,2013,0.0,2,0
60018614,_27,2015,0.0,1,0
60018704,_13,2012,0.0,1,0
60018704,_27,2012,0.0,1,0
60018910,_11,2012,0.0,1,0
60018910,_13,2012,0.0,1,0
60018910,_16,2013,0.0,1,0
60018910,_22,2015,0.0,1,0
60019118,_10,2012,0.0,1,0
60019118,_11,2012,0.0,1,0
60019118,_13,2011,0.0,1,0
60019118,_15,2015,0.0,1,0
60019118,_16,2011,0.0,3,0
60019118,_17,2012,0.5,2,0
60019118,_18,2012,0.0,1,0
60019118,_19,2011,0.0,4,0
60019118,_22,2011,0.5,2,0
60019118,_23,2012,0.0,1,0
60019118,_24,2017,0.0,1,0
60019118,_25,2011,0.0,1,0
60019118,_26,2012,0.0,1,0
60019118,_27,2011,1.0,1,1
60019118,_28,2012,0.0,1,0
60019118,_30,2015,1.0,1,1
60019118,_31,2011,0.0,3,0
60019118,_36,2012,1.0,1,1
60019496,_16,2016,0.0,1,0
60019499,_11,2017,0.0,1,0
60019499,_13,2015,0.0,1,0
60019499,_15,2017,1.0,1,1
60019499,_16,2016,0.0,1,0
60019499,_17,2012,0.0,1,0
60019499,_19,2015,0.0,1,0
60019499,_22,2012,0.0,1,0
60019499,_23,2012,0.0,1,0
60019499,_24,2012,1.0,1,1
60019499,_25,2015,0.0,1,0
60019499,_31,2013,1.0,1,1
60019533,_12,2013,1.0,1,1
60019533,_13,2013,0.0,1,0
60019533,_15,2017,0.0,1,0
60019533,_16,2013,0.0,2,0
60019533,_17,2016,0.0,1,0
60019533,_19,2013,0.0,1,0
60019533,_21,2015,0.0,1,0
60019533,_22,2012,0.0,1,0
