hiring_unit_id,subfield_most_frequent,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_4digit
60009860,_2208,_22,2011,0.0,1,0
60009860,_2303,_23,2012,0.0,1,0
60009860,_2304,_23,2017,0.0,2,0
60009860,_2310,_23,2011,0.0,1,0
60009860,_2403,_24,2015,0.0,1,0
60009860,_2404,_24,2017,0.0,1,0
60009860,_2500,_25,2012,0.5,2,0
60009860,_2504,_25,2015,0.0,1,0
60009860,_2505,_25,2017,0.0,1,0
60009860,_2600,_26,2015,0.5,2,0
60009860,_2604,_26,2017,0.0,2,0
60009860,_2607,_26,2013,0.0,1,0
60009860,_2613,_26,2016,0.0,1,0
60009860,_2700,_27,2011,0.0,2,0
60009860,_2716,_27,2016,1.0,1,1
60009860,_2741,_27,2017,1.0,1,1
60009860,_2800,_28,2012,0.0,1,0
60009860,_2804,_28,2013,0.0,1,0
60009860,_3003,_30,2015,0.0,1,0
60009860,_3100,_31,2015,0.0,1,0
60009860,_3101,_31,2012,0.0,1,0
60009860,_3104,_31,2011,0.0,1,0
60009860,_3106,_31,2015,0.0,2,0
60009860,_3107,_31,2013,0.0,1,0
60009860,_3315,_33,2017,0.0,1,0
60009860,_3500,_35,2017,0.0,1,0
60009884,_2700,_27,2013,0.0,1,0
60010080,_1305,_13,2016,0.0,1,0
60010080,_1312,_13,2013,0.0,1,0
60010080,_1706,_17,2017,0.0,1,0
60010080,_1712,_17,2017,1.0,1,1
60010080,_2208,_22,2017,0.0,1,0
60010080,_2210,_22,2017,0.0,1,0
60010080,_2304,_23,2017,0.0,1,0
60010080,_2500,_25,2017,0.0,4,0
60010080,_2507,_25,2016,0.0,1,0
60010080,_3107,_31,2011,0.0,1,0
60010421,_1706,_17,2017,0.0,1,0
60010421,_1909,_19,2017,0.0,1,0
60010421,_2205,_22,2012,0.0,1,0
60010421,_2208,_22,2016,1.0,1,1
60010421,_2503,_25,2017,0.0,1,0
60010421,_3003,_30,2011,0.0,1,0
60010421,_3104,_31,2015,0.0,1,0
60010421,_3107,_31,2015,0.0,1,0
60010432,_1303,_13,2012,0.0,1,0
60010432,_1306,_13,2015,0.0,1,0
60010432,_1307,_13,2012,0.0,1,0
60010432,_1500,_15,2016,0.0,1,0
60010432,_1503,_15,2016,0.0,1,0
60010432,_1600,_16,2013,0.0,3,0
60010432,_1604,_16,2013,0.0,1,0
60010432,_1605,_16,2012,0.0,1,0
60010432,_1706,_17,2013,0.0,1,0
60010432,_1908,_19,2016,0.0,1,0
60010432,_2204,_22,2013,0.0,1,0
60010432,_2500,_25,2011,0.0,1,0
60010432,_2504,_25,2011,0.0,1,0
60010432,_2700,_27,2013,0.0,1,0
60010432,_2705,_27,2015,0.0,1,0
60010432,_2800,_28,2013,0.0,1,0
60010432,_3104,_31,2013,0.0,1,0
60010432,_3107,_31,2011,0.0,1,0
60010591,_1303,_13,2017,0.0,1,0
60010591,_1600,_16,2015,1.0,1,1
60010591,_1700,_17,2015,0.0,1,0
60010591,_2500,_25,2017,0.0,1,0
60010591,_3106,_31,2012,0.0,1,0
60010689,_1600,_16,2016,0.0,1,0
60010689,_2103,_21,2017,0.0,1,0
60010689,_2304,_23,2015,0.0,1,0
60010689,_2310,_23,2015,0.0,1,0
60010689,_2312,_23,2017,0.0,1,0
60010851,_1706,_17,2015,0.0,1,0
60010851,_1909,_19,2017,0.0,2,0
60010851,_2211,_22,2012,0.0,1,0
60010851,_2312,_23,2012,1.0,1,1
60010851,_2700,_27,2013,0.0,1,0
60010896,_1500,_15,2013,0.0,1,0
60010896,_2210,_22,2012,0.0,2,0
60010953,_1600,_16,2017,1.0,1,1
60010953,_1605,_16,2013,0.0,1,0
60010953,_2507,_25,2016,0.0,1,0
60011040,_2210,_22,2016,0.0,1,0
60011069,_1312,_13,2017,0.0,1,0
60011069,_1600,_16,2013,1.0,1,1
60011069,_1605,_16,2013,0.0,1,0
60011069,_1706,_17,2015,0.0,1,0
60011069,_2208,_22,2017,0.0,1,0
60011069,_2307,_23,2013,1.0,1,1
60011069,_2500,_25,2015,0.0,1,0
60011549,_1105,_11,2016,0.0,1,0
60011549,_1500,_15,2016,0.0,1,0
60011549,_1600,_16,2016,0.0,1,0
60011549,_2508,_25,2013,0.0,1,0
60011715,_2403,_24,2015,0.0,1,0
60012223,_1606,_16,2016,0.0,1,0
